,movieId,genre
0,1,1
0,1,2
0,1,3
0,1,4
0,1,8
1,2,1
1,2,3
1,2,8
2,3,4
2,3,13
3,4,4
3,4,7
3,4,13
4,5,4
5,6,0
5,6,5
5,6,15
6,7,4
6,7,13
7,8,1
7,8,3
8,9,0
9,10,0
9,10,1
9,10,15
10,11,4
10,11,7
10,11,13
11,12,4
11,12,10
12,13,1
12,13,2
12,13,3
13,14,7
14,15,0
14,15,1
14,15,13
15,16,5
15,16,7
16,17,7
16,17,13
17,18,4
18,19,4
19,20,0
19,20,4
19,20,5
19,20,7
19,20,15
20,21,4
20,21,5
20,21,15
21,22,5
21,22,7
21,22,10
21,22,12
21,22,15
22,23,0
22,23,5
22,23,15
23,24,7
23,24,14
24,25,7
24,25,13
25,26,7
26,27,3
26,27,7
27,28,7
27,28,13
28,29,1
28,29,7
28,29,8
28,29,12
28,29,14
29,30,5
29,30,7
30,31,7
31,32,12
31,32,14
31,32,15
32,34,3
32,34,7
33,36,5
33,36,7
34,38,3
34,38,4
35,39,4
35,39,13
36,40,7
37,41,7
37,41,16
38,42,0
38,42,5
38,42,7
39,43,7
40,44,0
40,44,1
40,44,8
41,45,4
41,45,7
41,45,15
42,46,7
42,46,13
43,47,12
43,47,15
44,48,2
44,48,3
44,48,7
44,48,11
44,48,13
45,49,7
45,49,13
46,50,5
46,50,12
46,50,15
47,52,4
47,52,7
47,52,13
48,53,1
48,53,7
49,54,3
49,54,4
50,55,7
51,57,7
52,58,4
52,58,7
52,58,13
53,60,1
53,60,3
53,60,8
54,61,7
54,61,15
55,62,7
56,63,4
56,63,5
57,64,4
57,64,13
58,65,4
59,66,0
59,66,14
59,66,15
60,68,4
60,68,13
61,69,4
62,70,0
62,70,4
62,70,10
62,70,15
63,71,0
64,72,4
64,72,7
65,73,7
65,73,16
66,74,7
66,74,13
67,75,4
67,75,7
68,76,0
68,76,14
68,76,15
69,77,6
70,78,0
70,78,5
70,78,7
70,78,15
71,79,7
71,79,15
72,80,3
72,80,7
73,81,5
73,81,7
73,81,13
74,82,4
74,82,7
75,83,7
75,83,13
76,85,7
76,85,13
77,86,0
77,86,1
77,86,7
78,87,3
78,87,4
79,88,4
80,89,0
80,89,15
81,92,7
81,92,10
81,92,15
82,93,4
82,93,10
82,93,13
83,94,4
83,94,7
83,94,13
84,95,0
84,95,1
84,95,15
85,96,4
85,96,7
86,97,5
86,97,7
87,99,6
88,100,7
88,100,15
89,101,1
89,101,4
89,101,5
89,101,13
90,102,4
91,103,12
91,103,14
91,103,15
92,104,4
93,105,7
93,105,13
94,106,4
94,106,7
95,107,1
95,107,3
95,107,4
95,107,11
96,108,6
97,110,0
97,110,7
97,110,16
98,111,5
98,111,7
98,111,15
99,112,0
99,112,1
99,112,4
99,112,5
100,113,7
100,113,12
101,116,6
102,117,5
102,117,7
103,118,4
103,118,13
104,119,4
105,121,7
106,122,4
106,122,13
107,123,7
107,123,12
107,123,13
108,125,4
109,126,1
109,126,3
109,126,8
110,128,6
111,129,4
111,129,13
112,132,15
113,135,4
114,137,6
115,140,7
115,140,13
116,141,4
117,144,4
118,145,0
118,145,4
118,145,5
118,145,7
118,145,15
119,146,1
119,146,3
120,147,7
121,148,7
122,149,5
122,149,7
122,149,15
123,150,1
123,150,7
124,151,0
124,151,7
124,151,13
124,151,16
125,152,7
125,152,10
126,153,0
126,153,1
126,153,4
126,153,5
127,154,7
128,155,1
128,155,7
128,155,16
129,156,4
129,156,7
130,157,4
130,157,16
131,158,1
131,158,3
132,159,5
132,159,7
132,159,12
133,160,0
133,160,1
133,160,12
133,160,14
134,161,7
134,161,15
134,161,16
135,162,6
136,163,0
136,163,13
136,163,17
137,164,5
137,164,9
137,164,12
137,164,15
138,165,0
138,165,5
138,165,15
139,166,4
139,166,5
139,166,7
140,168,0
140,168,7
140,168,13
141,169,1
141,169,3
141,169,7
142,170,0
142,170,1
142,170,5
142,170,15
143,171,4
143,171,7
144,172,0
144,172,14
144,172,15
145,173,0
145,173,5
145,173,14
146,174,4
147,175,7
148,176,4
149,177,10
150,178,4
150,178,7
151,179,7
151,179,13
152,180,4
152,180,13
153,181,0
153,181,3
154,183,4
154,183,10
154,183,15
155,184,7
156,185,0
156,185,5
156,185,15
157,186,4
157,186,13
158,187,4
159,188,8
